training_source,n_train,internal_auroc,internal_ece,external_auroc,ci_lo,ci_hi,ece,brier
Mendeley only,1072,0.9717249096229988,0.025613750698912207,0.8160213452469596,0.7655443237892587,0.8638316204379314,0.286967754774419,0.26359468123006136
Kaggle/UCI only,452,0.9202468487394958,0.049955152642209275,0.9203276247207743,0.884523349246907,0.9501187865497075,0.09139777624600601,0.11982915849574848
Pooled external,1524,0.9642582421665973,0.045441602910606685,0.8645445519980144,0.821691237745098,0.9046961554149456,0.23383466781390405,0.2044269328053425
