feature,psi,ks
sbp,0.1769676252699727,0.17110323886639675
shock_index,0.25683111386388935,0.08727576771055032
body_temp,0.26767925827690664,0.22150211992731678
dbp,0.2942444643498137,0.1861467704437481
map,0.32028627597669784,0.15182186234817813
pulse_pressure,0.33941581470746524,0.2409919028340081
heart_rate,0.3470260568084263,0.12704437481047204
age,0.7244264026605711,0.34933820291656953
bs,2.54885374868474,0.36165210364159806
